State,Total Cases,Total Death,Death_100k,CasesInLast7Days,RatePer100000,total_test,totalTestResults,State of emergency,Stay at home/ shelter in place,End/relax stay at home/shelter in place,Closed non-essential businesses,Began to reopen businesses statewide,Mandate face mask use by employees in public-facing businesses,Weekly unemployment insurance maximum amount (dollars),Population density per square miles,Population 2018,Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2018,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
New Hampshire,5897,381,28.1,226,434.7,118298,123749,3/13/2020,3/28/2020,6/16/2020,3/28/2020,5/11/2020,5/1/2020,427,145.09,1356458,7.6,40.5,12774,0.2,0.08,0.11,0.26,0.16,0.18
New Jersey,173402,15211,170.7,2529,1946.5,1403984,1534640,3/9/2020,0,0,3/21/2020,5/18/2020,4/8/2020,713,1021.27,8908520,9.5,34.6,75765,0.23,0.08,0.11,0.27,0.14,0.16
New Mexico,13256,513,24.5,1637,632.6,331048,372288,3/11/2020,3/24/2020,0,3/24/2020,5/15/2020,5/6/2020,511,17.23,2095428,19.5,39.4,19007,0.24,0.09,0.12,0.24,0.13,0.18
New York,398828,31906,354.3,5100,4220.4,3862913,4233803,3/7/2020,3/22/2020,0,3/22/2020,5/15/2020,4/17/2020,504,358.21,19542209,13.6,36.9,157183,0.22,0.09,0.13,0.26,0.14,0.16
North Carolina,72983,1396,13.4,12446,702.9,886305,1036838,3/10/2020,3/30/2020,5/22/2020,3/30/2020,5/8/2020,6/26/2020,350,192.94,10383620,14,39,93885,0.24,0.08,0.12,0.26,0.13,0.16
North Dakota,3816,80,10.5,358,502.1,105691,113128,3/13/2020,0,0,0,5/1/2020,4/28/2020,618,10.75,760077,10.7,34.6,6445,0.24,0.11,0.14,0.23,0.13,0.15
Ohio,57151,2911,24.9,7696,488.9,774382,868762,3/9/2020,3/24/2020,5/20/2020,3/24/2020,5/4/2020,4/29/2020,480,260.77,11689442,13.9,39.8,124264,,0.09,,0.25,,0.17
Oklahoma,15776,416,10.6,3409,400.1,326193,364717,3/15/2020,0,0,4/1/2020,4/24/2020,0,539,56.41,3943079,15.6,40.8,40933,0.26,0.09,0.13,0.24,0.13,0.16
Oregon,10230,215,5.1,2136,244.1,235133,264201,3/8/2020,3/23/2020,6/19/2020,0,5/15/2020,5/9/2020,648,42.6,4190713,12.6,39.8,36187,0.22,0.08,0.13,0.26,0.13,0.18
Pennsylvania,90304,6754,52.7,4808,705.1,752889,824700,3/6/2020,4/1/2020,6/5/2020,3/19/2020,6/5/2020,4/19/2020,572,278.09,12807060,12.2,39.8,134702,0.22,0.08,0.12,0.25,0.14,0.18
